problema;  modelo;  ub_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID002_M015_J015; manne; 1197.0; 15; 15; True; 1197.0; 1197.0; 0.0; 3375; 1801; 1004; 74239362; 944811; 9900; integer optimal solution; 975.64532995224; False;  
ID002_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 947.8456375838925; nan; 10110; 1801; 1114; 2800; 0; 29445; optimal; 0.0901789665222168; False;  
ID002_M015_J015; minla_fav; 1197.0; 15; 15; False; nan; 947.8456375838928; nan; 10110; 1801; 1103; 2673; 0; 29445; optimal; 0.08202505111694336; False;  
ID002_M015_J015; manne; -1.0; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 0; 9900; optimal; 0.020622968673706055; False;  
ID002_M015_J015; manne; 1197.0; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 0; 9900; optimal; 0.021625041961669922; False;  
ID003_M015_J015; minla_fav; -1.0; 15; 15; True; 1171.8869565220805; 1172.0; 9.645347945350577e-05; 10110; 1801; 1034; 78962933; 563623; 29445; integer optimal, tolerance; 2172.2724940776825; False;  
ID003_M015_J015; minla_fav; 1172.0; 15; 15; True; 1171.9294732259468; 1172.0; 6.017642837301371e-05; 10110; 1801; 1041; 71591637; 561016; 29445; integer optimal, tolerance; 1651.0953781604767; False;  
ID003_M015_J015; manne; -1.0; 15; 15; True; 1171.888888888889; 1171.999999996; 9.480469890059546e-05; 3375; 1801; 1058; 338878608; 2152109; 9900; integer optimal, tolerance; 5861.083009958267; False;  
ID003_M015_J015; manne; 1172.0; 15; 15; True; 1172.0; 1172.0; 0.0; 3375; 1801; 1060; 173432313; 2242937; 9900; integer optimal solution; 2313.1719830036163; False;  
ID003_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 911.0; nan; 10110; 1801; 1171; 2755; 0; 29445; optimal; 0.09271097183227539; False;  
ID003_M015_J015; minla_fav; 1172.0; 15; 15; False; nan; 911.0; nan; 10110; 1801; 1159; 2660; 0; 29445; optimal; 0.08247590065002441; False;  
ID003_M015_J015; manne; -1.0; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 0; 9900; optimal; 0.01985311508178711; False;  
ID003_M015_J015; manne; 1172.0; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 0; 9900; optimal; 0.019963979721069336; False;  
ID005_M015_J015; minla_fav; -1.0; 15; 15; True; 1161.929362540009; 1162.0; 6.078955248801194e-05; 10110; 1801; 1013; 57625105; 298407; 29445; integer optimal, tolerance; 1805.4869379997253; False;  
ID005_M015_J015; minla_fav; 1162.0; 15; 15; True; 1161.9962406015038; 1162.0; 3.235282698954881e-06; 10110; 1801; 1010; 10795825; 79961; 29445; integer optimal, tolerance; 283.186222076416; False;  
ID005_M015_J015; manne; -1.0; 15; 15; True; 1161.887752200548; 1162.0; 9.659879470911975e-05; 3375; 1801; 1014; 89597757; 539193; 9900; integer optimal, tolerance; 1580.3353371620178; False;  
ID005_M015_J015; manne; 1162.0; 15; 15; True; 1162.0; 1162.0; 0.0; 3375; 1801; 1007; 30250633; 364055; 9900; integer optimal solution; 420.96984791755676; False;  
ID005_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 915.057151941249; nan; 10110; 1801; 1145; 3295; 0; 29445; optimal; 0.1047220230102539; False;  
ID005_M015_J015; minla_fav; 1162.0; 15; 15; False; nan; 915.057151941249; nan; 10110; 1801; 1152; 3238; 0; 29445; optimal; 0.10214495658874512; False;  
ID005_M015_J015; manne; -1.0; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.02033400535583496; False;  
ID005_M015_J015; manne; 1162.0; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020854949951171875; False;  
ID006_M015_J015; minla_fav; -1.0; 15; 15; True; 1242.983606557377; 1243.0; 1.3188610316156916e-05; 10110; 1801; 990; 17034488; 115249; 29445; integer optimal, tolerance; 684.084310054779; False;  
ID006_M015_J015; minla_fav; 1243.0; 15; 15; True; 1243.0; 1243.0; 0.0; 10110; 1801; 980; 11929877; 97516; 29445; integer optimal solution; 303.91492080688477; False;  
ID006_M015_J015; manne; -1.0; 15; 15; True; 1242.9310344827588; 1242.9999999999995; 5.548311926042425e-05; 3375; 1801; 1010; 15336692; 114607; 9900; integer optimal, tolerance; 293.7734878063202; False;  
ID006_M015_J015; manne; 1243.0; 15; 15; True; 1243.0; 1243.0; 0.0; 3375; 1801; 991; 74923328; 1032942; 9900; integer optimal solution; 993.5903899669647; False;  
ID006_M015_J015; minla_fav; -1.0; 15; 15; False; nan; 979.4327546182903; nan; 10110; 1801; 1125; 3140; 0; 29445; optimal; 0.08553099632263184; False;  
ID006_M015_J015; minla_fav; 1243.0; 15; 15; False; nan; 979.4327546182903; nan; 10110; 1801; 1132; 3007; 0; 29445; optimal; 0.08545303344726562; False;  
